progresivas;2021;2022;2023
1;1.38;2.26;2.82
2;1.31;1.74;2.34
3;1.45;1.81;2.34
4;1.45;1.74;1.96
5;1.38;2.19;2.82
6;1.52;1.71;2.51
7;1.38;1.85;2.82
8;1.48;1.85;2.51
9;1.96;1.74;3.26
10;1.31;1.88;2.82
11;1.42;1.74;2.92
12;1.38;2.19;2.85
13;1.48;1.88;2.41
14;1.79;2.29;2.44
15;1.79;2.19;2.61
16;1.76;2.6;2.99
17;1.76;1.92;2.89
18;1.42;2.33;2.44
19;1.42;2.64;2.54
20;0.87;1.92;2.44
21;1.42;1.92;2.85
22;1.45;1.92;2.82
23;1.76;1.74;2.54
24;1.31;1.85;2.41
25;1.31;1.78;2.89
26;0.97;2.19;2.44
27;1.79;2.19;2.44
28;1.90;1.88;2.92
29;1.42;2.22;2.41
30;1.42;2.33;2.47
31;1.59;1.74;2.37
32;1.55;2.16;2.51
33;1.45;2.33;2.44
34;1.55;2.29;2.44
35;1.42;1.88;2.41
36;1.45;2.64;3.16
37;1.59;1.81;2.41
38;1.48;1.88;2.23
39;1.62;1.92;2.3
40;1.52;1.5;2.75
41;1.11;1.92;2.3
42;1.48;2.33;2.37
43;1.48;1.81;2.37
44;1.07;1.81;2.41
45;1.52;1.81;3.26
46;1.07;2.7;2.37
47;1.45;1.78;2.92
48;1.42;2.22;2.3
49;1.11;1.78;2.44
50;1.35;1.92;2.85
51;1.55;1.78;1.89
52;1.04;1.95;2.44
53;1.45;1.98;1.93
54;1.55;2.36;2.37
55;1.96;1.85;2.37
56;1.42;2.29;2.47
57;1.52;2.36;2.78
58;2.00;1.92;2.58
59;1.42;2.02;2.23
60;1.42;1.85;2.27
61;1.52;1.95;2.47
62;1.45;2.22;2.78
63;1.42;2.22;2.78
64;1.55;2.19;2.82
65;1.48;1.81;2.82
66;1.45;2.12;2.78
67;1.59;1.78;2.41
68;1.59;2.22;2.37
69;1.04;1.71;2.44
70;1.45;2.16;2.82
71;1.86;1.37;2.82
72;1.42;1.81;2.23
73;0.97;1.78;2.72
74;0.97;1.78;2.68
75;1.42;2.19;2.23
76;1.45;2.22;2.27
77;1.42;2.22;2.72
78;1.35;1.81;3.16
79;1.28;1.85;1.99
80;1.31;1.88;2.82
81;1.76;1.88;2.89
82;1.35;1.88;2.78
83;1.62;1.81;2.37
84;0.97;1.85;2.72
85;0.97;1.81;2.34
86;1.35;2.36;2.3
87;1.31;1.88;2.44
88;2.17;1.95;2.89
89;1.38;2.29;2.37
90;1.35;2.29;2.41
91;1.35;1.81;2.44
92;0.93;1.98;2.54
93;1.45;1.88;2.44
94;1.38;1.95;3.33
95;0.97;1.81;2.51
96;1.38;1.81;2.44
97;1.00;1.85;2.1
98;1.48;1.81;2.92
99;1.31;1.54;2.96
100;1.38;2.26;2.54
101;1.62;1.88;2.58
102;0.83;1.98;2.54
103;1.28;1.95;2.65
104;1.31;1.85;2.51
105;1.35;2.29;2.54
106;1.35;1.92;2.51
107;1.48;1.98;2.85
108;0.93;1.88;2.44
109;1.90;1.88;2.54
110;1.31;1.85;2.51
111;1.35;1.85;2.85
112;0.93;1.81;2.85
113;1.31;1.5;2.34
114;1.45;1.5;2.85
115;1.90;1.88;2.44
116;0.93;1.85;2.41
117;1.31;2.29;2.06
118;1.83;1.85;2.03
119;1.72;2.26;2.92
120;1.07;1.85;2.51
121;1.07;1.85;2.51
122;1.38;1.78;2.61
123;1.38;1.88;2.51
124;1.42;1.5;2.51
125;1.14;1.4;2.54
126;1.45;2.22;2.58
127;1.52;1.78;2.51
128;1.45;1.78;2.51
129;0.97;1.81;2.58
130;1.93;1.81;3.06
131;1.48;1.81;2.51
132;1.42;1.88;2.54
133;1.45;2.29;2.54
134;1.38;2.29;2.96
135;1.45;2.29;2.92
136;1.79;1.74;2.51
137;1.35;1.78;2.51
138;1.79;1.74;2.92
139;1.38;2.19;2.54
140;1.38;2.16;2.96
141;1.35;2.26;2.06
142;1.66;1.74;2.85
143;1.83;2.19;2.54
144;1.31;2.64;2.47
145;1.35;1.74;2.96
146;1.35;1.85;2.96
147;1.38;2.19;3.06
148;1.35;1.71;2.54
149;1.35;1.71;2.65
150;0.93;1.74;2.65
151;1.04;2.22;2.96
152;1.04;1.74;2.51
153;1.45;1.71;2.54
154;1.31;1.71;2.54
155;1.79;2.22;2.58
156;1.04;1.71;2.51
157;1.45;1.74;2.47
158;0.93;1.78;2.61
159;1.45;1.81;2.47
160;1.48;1.47;2.58
161;1.35;1.88;3.23
162;1.07;2.22;2.85
163;0.93;1.74;2.37
164;1.52;2.22;2.82
165;1.11;1.74;2.44
166;1.38;2.19;2.41
167;1.93;1.81;2.37
168;1.52;1.71;2.41
169;1.52;2.16;2.37
170;1.52;1.71;2.44
171;1.04;2.26;2.85
172;1.07;2.16;2.96
173;0.97;1.81;2.34
174;1.48;1.85;2.3
175;0.97;1.71;2.34
176;1.45;1.71;2.23
177;1.86;1.81;2.82
178;1.86;2.19;2.34
179;1.38;1.33;2.41
180;1.83;1.85;2.44
181;1.48;1.74;2.44
182;1.38;1.88;2.27
183;1.83;1.78;2.27
184;1.42;2.22;2.03
185;1.42;1.81;3.2
186;1.42;2.33;2.34
187;1.96;1.74;2.85
188;1.38;1.78;2.37
189;1.45;1.71;3.16
190;1.86;1.78;2.44
191;1.96;1.4;2.27
192;1.55;1.92;2.34
193;1.45;1.92;2.37
194;1.42;1.78;2.37
195;1.35;1.78;2.47
196;1.48;1.88;2.44
197;0.97;1.81;2.47
198;1.79;1.88;2.51
199;1.48;1.43;2.44
200;1.42;1.88;2.51
201;1.42;1.85;3.2
202;1.45;1.98;2.44
203;1.86;1.98;2.85
204;1.31;1.85;2.47
205;1.28;1.88;2.41
206;0.87;1.88;2.47
207;1.72;1.95;2.47
208;1.72;1.88;2.78
209;1.38;2.22;1.93
210;1.35;1.85;2.37
211;1.38;1.95;2.34
212;1.00;2.4;2.82
213;1.55;1.95;3.3
214;0.97;1.81;2.89
215;1.38;1.81;2.44
216;0.97;1.78;2.54
217;1.48;1.78;2.51
218;1.31;1.81;2.44
219;1.00;1.81;2.47
220;1.38;1.92;2.51
221;1.76;1.81;2.44
222;1.45;1.78;2.44
223;1.48;1.81;3.26
224;1.48;1.81;2.85
225;1.35;2.26;2.41
226;1.42;1.81;2.78
227;1.76;1.78;1.96
228;1.72;1.92;2.75
229;1.31;1.81;1.93
230;1.45;1.92;2.34
231;1.45;1.92;2.34
232;1.38;1.81;2.44
233;1.38;1.81;2.78
234;1.38;1.81;2.44
235;0.93;1.81;2.44
236;1.79;2.26;2.54
237;1.79;1.4;2.89
238;1.48;1.78;2.47
239;1.48;1.78;1.65
240;1.42;1.81;2.85
241;1.42;1.85;2.47
242;1.38;1.88;2.89
243;1.38;2.02;2.47
244;1.38;1.88;2.58
245;1.48;1.95;2.51
246;1.38;2.33;2.96
247;1.42;1.88;2.58
248;1.42;1.92;2.58
249;1.42;1.92;2.85
250;1.42;1.92;2.99
251;1.38;1.92;3.4
252;1.45;2.46;2.47
253;1.00;1.92;2.89
254;1.42;1.88;2.51
255;1.38;1.98;2.58
256;1.38;2.22;2.58
257;1.38;1.74;3.02
258;1.38;1.92;2.68
259;1.38;1.4;2.99
260;1.35;1.81;2.58
261;1.42;2.22;2.99
262;1.35;1.85;2.92
263;1.35;1.71;2.99
264;1.38;1.81;2.96
265;1.48;1.85;2.58
266;1.79;1.74;2.61
267;1.38;1.78;2.68
268;1.38;1.78;2.58
269;1.93;2.12;2.69
270;1.38;1.67;2.86
271;1.38;1.85;2.74
272;1.45;1.78;2.62
273;1.42;2.19;2.61
274;1.45;1.43;2.98
275;1.38;1.67;2.69
276;1.35;1.64;2.72
277;1.38;2.05;2.65
278;1.42;1.67;2.99
279;1.38;1.74;2.76
280;1.72;2.16;2.65
281;1.24;1.78;2.64
282;1.66;2.19;2.93
283;1.35;2.26;2.89
284;1.86;1.81;2.98
285;1.35;1.85;2.78
286;1.76;2.36;2.54
287;1.45;1.78;2.96
288;1.35;1.78;2.87
289;1.35;1.81;2.76
290;1.31;1.81;2.67
291;0.90;1.85;2.96
292;1.07;1.88;2.94
293;1.90;1.88;2.60
294;1.38;1.95;2.78
295;1.38;1.95;2.98
296;1.07;2.46;2.95
297;1.38;2.33;2.60
298;1.07;1.88;2.76
299;1.07;1.98;2.85
300;0.97;2.33;2.82
301;1.42;1.92;2.95
302;1.38;1.85;2.87
303;1.38;2.29;2.55
304;1.45;1.92;2.68
305;1.35;2.64;2.86
306;1.31;1.85;2.55
307;1.76;1.92;2.56
308;1.38;2.02;2.55
309;1.42;1.54;2.56
310;1.35;2.02;2.64
311;1.83;1.88;2.63
312;1.35;1.95;2.83
313;1.35;1.85;2.67
314;1.42;1.88;2.63
315;1.52;1.92;2.63
316;1.96;1.92;2.82
317;1.45;1.95;2.60
318;1.45;1.54;2.51
319;1.42;2.36;2.85
320;1.83;1.98;2.80
321;1.48;2.05;2.59
322;1.59;1.92;2.95
323;1.93;2.46;2.61
324;1.59;1.88;2.89
325;1.42;1.88;2.96
326;1.45;1.98;2.51
327;1.42;2.05;2.54
328;1.38;1.92;2.03
329;1.52;1.5;2.92
330;2.24;2.05;2.44
331;1.42;1.88;2.85
332;1.42;1.92;2.44
333;1.42;1.92;2.58
334;1.38;1.64;2.44
335;1.35;1.98;2.92
336;1.35;1.85;2.44
337;1.72;1.88;2.54
338;1.24;1.88;2.89
339;1.28;1.5;2.44
340;1.28;1.81;2.92
341;1.28;1.85;2.78
342;1.31;1.81;2.82
343;1.24;2.22;2.54
344;1.48;2.22;2.54
345;1.45;2.22;2.47
346;1.42;1.81;2.54
347;1.48;2.29;3.02
348;1.42;1.81;3.2
349;1.45;1.85;2.37
350;1.55;1.81;2.85
351;1.38;1.81;2.75
352;1.79;1.88;2.75
353;1.48;1.88;2.44
354;1.45;1.85;2.47
355;1.48;1.98;2.65
356;1.86;1.88;1.99
357;1.96;2.33;2.37
358;2.00;1.92;2.3
359;2.00;2.33;3.3
360;1.45;1.5;2.41
361;1.93;1.95;2.37
362;1.45;1.43;2.47
363;1.00;1.98;2.41
364;1.38;1.85;2.58
365;1.38;2.29;2.82
366;1.79;2.16;2.41
367;1.31;1.71;2.78
368;1.76;1.71;2.41
369;1.42;1.71;2.78
370;1.76;1.81;2.92
371;1.35;1.78;2.41
372;1.35;1.78;2.41
373;1.35;1.37;2.75
374;1.45;1.78;2.89
375;2.00;1.74;2.44
376;1.42;1.85;2.89
377;1.42;1.95;2.82
378;1.86;2.4;2.58
379;1.45;1.85;2.37
380;1.42;2.26;3.2
381;1.04;1.95;2.92
382;1.48;1.88;2.54
383;1.48;1.85;2.85
384;1.48;1.85;2.61
385;1.90;2.19;2.61
386;1.59;1.81;2.44
387;1.90;1.95;2.44
388;1.45;1.88;2.51
389;1.42;1.95;2.54
390;1.42;1.57;3.02
391;1.42;1.88;3.06
392;1.52;1.61;2.47
393;1.42;1.92;2.44
394;1.38;1.95;2.41
395;1.83;1.92;2.85
396;1.35;2.33;2.3
397;1.04;1.92;1.96
398;1.86;1.92;1.75
399;1.79;1.98;2.2
400;1.42;1.61;2.51
